Status_HIV,Status_TB,Especialidade_Plot,Quantidade_Pacientes
HIV Positivo,TB Positivo,Sem Encaminhamento (Resolvido na APS),46
HIV Positivo,TB Positivo,Infectologia,10
HIV Positivo,TB Positivo,Múltiplos Encaminhamentos (Histórico),1
HIV Positivo,TB Positivo,Oftalmologia,1
HIV Positivo,TB Negativo,Sem Encaminhamento (Resolvido na APS),136
HIV Positivo,TB Negativo,Infectologia,31
HIV Positivo,TB Negativo,Múltiplos Encaminhamentos (Histórico),3
HIV Positivo,TB Negativo,Dermatologia,2
HIV Positivo,TB Negativo,Oftalmologia,2
HIV Positivo,TB Negativo,Ortopedia,2
HIV Positivo,TB Negativo,Cardiologia,1
HIV Positivo,TB Negativo,Cirurgia Geral,1
HIV Positivo,TB Negativo,Endocrinologia,1
HIV Positivo,TB Negativo,Outras,1
