Identidade de Gênero,N Total (Grupo),Motivo CIAP-2,Frequência,Proporção (%)
Mulher Cis,2026,K86-HIPERTENSÃO SEM COMPLICAÇÕES,100,4.9
Mulher Cis,2026,A98-MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE,86,4.2
Mulher Cis,2026,P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,64,3.2
Mulher Cis,2026,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,63,3.1
Mulher Cis,2026,A29-OUTROS SINAIS/SINTOMAS GERAIS,55,2.7
Homem Cis,23013,K86-HIPERTENSÃO SEM COMPLICAÇÕES,1265,5.5
Homem Cis,23013,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,947,4.1
Homem Cis,23013,P06-PERTURBAÇÃO DO SONO,731,3.2
Homem Cis,23013,R05-TOSSE,705,3.1
Homem Cis,23013,S02-PRURIDO,495,2.2
Mulher Trans,110,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,12,10.9
Mulher Trans,110,B90-INFECÇÃO POR VIH/ HIV/SIDA/ AIDS,7,6.4
Mulher Trans,110,Y70-SÍFILIS MASCULINA,5,4.5
Mulher Trans,110,R05-TOSSE,5,4.5
Mulher Trans,110,K86-HIPERTENSÃO SEM COMPLICAÇÕES,3,2.7
Homem Trans,39,N01-CEFALÉIA,3,7.7
Homem Trans,39,P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,2,5.1
Homem Trans,39,-63-CONSULTA DE SEGUIMENTO NÃO ESPECICADA,2,5.1
Homem Trans,39,R05-TOSSE,2,5.1
Homem Trans,39,N89-ENXAQUECA,2,5.1
