Raça/Cor (IBGE),N Total (Grupo),Motivo CIAP-2,Frequência,Proporção (%)
Branca,8440,K86-HIPERTENSÃO SEM COMPLICAÇÕES,495,5.9
Branca,8440,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,356,4.2
Branca,8440,P06-PERTURBAÇÃO DO SONO,256,3.0
Branca,8440,R05-TOSSE,224,2.7
Branca,8440,S10-FURÚNCULO/CARBÚNCULO,180,2.1
Parda,12942,K86-HIPERTENSÃO SEM COMPLICAÇÕES,670,5.2
Parda,12942,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,536,4.1
Parda,12942,P06-PERTURBAÇÃO DO SONO,432,3.3
Parda,12942,R05-TOSSE,414,3.2
Parda,12942,S02-PRURIDO,288,2.2
Preta,3011,K86-HIPERTENSÃO SEM COMPLICAÇÕES,169,5.6
Preta,3011,R05-TOSSE,106,3.5
Preta,3011,P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,104,3.5
Preta,3011,P06-PERTURBAÇÃO DO SONO,75,2.5
Preta,3011,P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,60,2.0
Amarela,49,K86-HIPERTENSÃO SEM COMPLICAÇÕES,5,10.2
Amarela,49,P19-ABUSO DE DROGAS,4,8.2
Amarela,49,L18-DORES MUSCULARES,2,4.1
Amarela,49,P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,2,4.1
Amarela,49,L09-SINAIS/SINTOMAS DOS BRAÇOS,2,4.1
Indígena,52,K86-HIPERTENSÃO SEM COMPLICAÇÕES,4,7.7
Indígena,52,N01-CEFALÉIA,3,5.8
Indígena,52,R05-TOSSE,3,5.8
Indígena,52,P19-ABUSO DE DROGAS,2,3.8
Indígena,52,D89-HÉRNIA INGUINAL,2,3.8
