CIAP_Plot,Especialidade,Quantidade_Encaminhamentos
Outros CIAPs (Agrupados),Endocrinologia,13
T89-DIABETES INSULINO-DEPENDENTE,Endocrinologia,3
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Endocrinologia,2
 -31-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - PARCIA...,Endocrinologia,1
"D02-DORES ABDOMINAIS, EPIGÁSTRICAS",Endocrinologia,1
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,Endocrinologia,1
Outros CIAPs (Agrupados),Oftalmologia,217
F05-OUTRAS PERTURBAÇÕES VISUAIS,Oftalmologia,65
F99-OUTRA DOENÇAS OCULARES/ANEXOS,Oftalmologia,42
K86-HIPERTENSÃO SEM COMPLICAÇÕES,Oftalmologia,31
F91-ERRO DE REFRAÇÃO,Oftalmologia,25
T90-DIABETES NÃO INSULINO-DEPENDENTE,Oftalmologia,24
N01-CEFALÉIA,Oftalmologia,23
T89-DIABETES INSULINO-DEPENDENTE,Oftalmologia,20
F01-DOR NO OLHO,Oftalmologia,13
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,Oftalmologia,12
P06-PERTURBAÇÃO DO SONO,Oftalmologia,11
F29-OUTROS SINAIS/SINTOMAS OCULARES,Oftalmologia,10
F92-CATARATA,Oftalmologia,10
F93-GLAUCOMA,Oftalmologia,10
 -31-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - PARCIA...,Oftalmologia,9
"D02-DORES ABDOMINAIS, EPIGÁSTRICAS",Oftalmologia,8
