Source,Target,Value,source_idx,target_idx
Superusuários (P95),Total de Consultas,8312,0,1
Total de Consultas,Outros Diagnósticos,4769,1,2
Total de Consultas,Psicológico,745,1,3
Total de Consultas,Circulatório,618,1,4
Total de Consultas,Pele,474,1,5
Total de Consultas,Respiratório,424,1,6
Total de Consultas,Musculoesquelético,367,1,7
Total de Consultas,Geral/Inespecífico,307,1,8
Total de Consultas,Digestivo,291,1,9
Total de Consultas,Endócrino/Metabólico,287,1,10
Total de Consultas,Sangue,30,1,11
