Escolaridade,mean,std,count,sem,ci_95_margin,metrica
Ensino médio completo,0.18762508338892595,0.44100154818605225,5996,0.005695204223834583,0.011162600278715783,Carga Infecciosas
Ensino médio incompleto,0.23010351264211776,0.483604163100121,5893,0.006299728169988142,0.012347467213176758,Carga Infecciosas
Ensino superior completo ou mais,0.09541984732824428,0.31902398848165847,524,0.013936627645430463,0.027315790185043706,Carga Infecciosas
Ensino superior incompleto,0.21473951715374842,0.4549823439811997,787,0.016218369012839382,0.03178800326516519,Carga Infecciosas
Fundamental completo,0.2179139201240791,0.4917994605752793,2579,0.009684169383622552,0.0189809719919002,Carga Infecciosas
Fundamental incompleto,0.2546475358702433,0.5171460406531401,8015,0.005776455614941877,0.011321853005286079,Carga Infecciosas
Sem escolaridade,0.2210796915167095,0.5201782667508368,389,0.026374085064353608,0.05169320672613307,Carga Infecciosas
Ensino médio completo,0.2735156771180787,0.5460349592608545,5996,0.007051631948085115,0.013821198618246825,Carga Crônicas
Ensino médio incompleto,0.2426607839809944,0.4959091096444727,5893,0.006460020045638522,0.012661639289451503,Carga Crônicas
Ensino superior completo ou mais,0.43320610687022904,0.7059731682057729,524,0.030840581047761453,0.06044753885361245,Carga Crônicas
Ensino superior incompleto,0.3443456162642948,0.6276925087066781,787,0.02237482150125029,0.04385465014245057,Carga Crônicas
Fundamental completo,0.26638231872818924,0.5314015847840413,2579,0.010463986584601783,0.020509413705819494,Carga Crônicas
Fundamental incompleto,0.2994385527136619,0.5734483054361896,8015,0.0064053447641834295,0.012554475737799522,Carga Crônicas
Sem escolaridade,0.5218508997429306,0.7683565728700718,389,0.03895722468223993,0.07635616037719026,Carga Crônicas
Ensino médio completo,0.0,0.0,5996,0.0,0.0,Absenteísmo (%)
Ensino médio incompleto,0.0,0.0,5893,0.0,0.0,Absenteísmo (%)
Ensino superior completo ou mais,0.0,0.0,524,0.0,0.0,Absenteísmo (%)
Ensino superior incompleto,0.0,0.0,787,0.0,0.0,Absenteísmo (%)
Fundamental completo,0.0,0.0,2579,0.0,0.0,Absenteísmo (%)
Fundamental incompleto,0.0,0.0,8015,0.0,0.0,Absenteísmo (%)
Sem escolaridade,0.0,0.0,389,0.0,0.0,Absenteísmo (%)
Ensino médio completo,8.005336891260841,27.139843664466643,5996,0.3504907248236487,0.6869618206543514,Especialidades (%)
Ensino médio incompleto,7.025284235533684,25.559433927680793,5893,0.33295305997981195,0.6525879975604314,Especialidades (%)
Ensino superior completo ou mais,7.061068702290076,25.641820443241834,524,1.120168127071716,2.1955295290605634,Especialidades (%)
Ensino superior incompleto,8.640406607369759,28.113846051075445,787,1.0021503815658823,1.9642147478691294,Especialidades (%)
Fundamental completo,10.003877471888329,30.010988168851405,2579,0.5909552899002473,1.1582723682044846,Especialidades (%)
Fundamental incompleto,8.820960698689957,28.36171860855888,8015,0.3167967959280879,0.6209217200190523,Especialidades (%)
Sem escolaridade,7.712082262210797,26.71266318174316,389,1.3543857867252727,2.6545961419815343,Especialidades (%)
